20050918, 0000,  , TD, 21.3N,  69.9W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050918, 0600,  , TD, 21.6N,  70.7W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050918, 1200,  , TD, 21.9N,  71.5W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050918, 1800,  , TS, 22.2N,  72.3W,  35, 1005,   75,   75,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0,
20050919, 0000,  , TS, 22.4N,  73.0W,  45, 1002,   90,   60,    0,   90,    0,    0,    0,    0,    0,    0,    0,    0,
20050919, 0600,  , TS, 22.6N,  73.8W,  50,  999,  100,   50,    0,   90,   40,    0,    0,   40,    0,    0,    0,    0,
20050919, 1200,  , TS, 22.8N,  74.7W,  55,  997,  120,   50,   50,   90,   40,    0,    0,   40,    0,    0,    0,    0,
20050919, 1800,  , TS, 23.1N,  75.9W,  60,  994,  110,   60,   60,   90,   40,   30,   20,   40,    0,    0,    0,    0,
20050920, 0000,  , TS, 23.3N,  77.2W,  60,  992,  105,   60,   60,  105,   45,   30,   20,   45,    0,    0,    0,    0,
20050920, 0600,  , TS, 23.5N,  78.8W,  60,  990,  105,   60,   60,  105,   45,   45,   20,   45,    0,    0,    0,    0,
20050920, 1200,  , HU, 23.7N,  80.3W,  70,  985,  110,   75,   60,  105,   45,   45,   20,   45,   25,   25,    0,    0,
20050920, 1800,  , HU, 23.9N,  81.6W,  85,  975,  120,  100,   60,  105,   60,   45,   40,   45,   40,   25,   20,   40,
20050921, 0000,  , HU, 24.1N,  82.7W,  95,  967,  120,  100,   60,  105,   60,   45,   40,   45,   40,   25,   20,   40,
20050921, 0600,  , HU, 24.2N,  84.0W, 110,  955,  120,  100,   60,  105,   60,   45,   40,   60,   40,   30,   25,   40,
20050921, 1200,  , HU, 24.2N,  85.2W, 120,  941,  135,  115,   80,  125,   75,   50,   40,   60,   50,   40,   30,   40,
20050921, 1800,  , HU, 24.3N,  86.2W, 145,  920,  150,  125,  100,  150,   90,   60,   50,   75,   60,   50,   40,   50,
20050922, 0000,  , HU, 24.5N,  86.9W, 150,  897,  160,  140,  100,  160,   90,   80,   60,   90,   60,   60,   40,   50,
20050922, 0300, I, HU, 24.7N,  87.3W, 155,  895, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20050922, 0600,  , HU, 24.8N,  87.6W, 155,  897,  160,  140,  100,  160,  100,   80,   60,   90,   60,   60,   40,   50,
20050922, 1200,  , HU, 25.2N,  88.3W, 140,  908,  160,  140,  100,  160,  100,   80,   60,   90,   75,   75,   40,   75,
20050922, 1800,  , HU, 25.6N,  89.1W, 125,  913,  180,  140,  100,  140,  120,   90,   50,   80,   70,   60,   40,   50,
20050923, 0000,  , HU, 26.0N,  89.9W, 120,  915,  180,  150,  100,  140,  120,  100,   50,   80,   70,   60,   40,   50,
20050923, 0600,  , HU, 26.5N,  90.7W, 115,  924,  180,  150,  120,  140,  120,  100,   80,  100,   75,   60,   40,   50,
20050923, 1200,  , HU, 27.1N,  91.5W, 115,  927,  180,  150,  120,  160,  120,  100,   80,  120,   75,   60,   40,   60,
20050923, 1800,  , HU, 27.8N,  92.3W, 110,  930,  180,  150,  120,  160,  120,  100,   80,  120,   75,   60,   40,   60,
20050924, 0000,  , HU, 28.6N,  93.0W, 105,  931,  180,  160,  120,  120,  120,  100,   80,   90,   75,   60,   40,   60,
20050924, 0600,  , HU, 29.4N,  93.6W, 100,  935,  180,  160,  120,  120,  120,  100,   80,   90,   75,   60,   40,   60,
20050924, 0740, L, HU, 29.7N,  93.7W, 100,  937, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20050924, 1200,  , HU, 30.5N,  94.1W,  65,  949,   60,  160,  120,   50,   45,   45,   45,   45,   30,   30,   30,   30,
20050924, 1800,  , TS, 31.6N,  94.1W,  45,  974,   50,  120,  120,   50,    0,    0,    0,    0,    0,    0,    0,    0,
20050925, 0000,  , TS, 32.7N,  94.0W,  35,  982,   50,   50,   30,   50,    0,    0,    0,    0,    0,    0,    0,    0,
20050925, 0600,  , TD, 33.7N,  93.6W,  30,  989,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050925, 1200,  , TD, 34.7N,  92.5W,  25,  995,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050925, 1800,  , TD, 35.8N,  91.4W,  25, 1000,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050926, 0000,  , TD, 37.0N,  90.1W,  20, 1003,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050926, 0600,  , LO, 39.5N,  88.0W,  20, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
